Date,FY,Year,Month,Week,type,Ndate,Bank,DLCY,DFCY,DTOTAL,LLCY,LFCY,LTOTAL,CD
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Agricultural Development Bank Ltd,199.66,0,199.66,183.19,0,183.19,0.8317
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Citizens Bank International Ltd,168.04,3.98,172.02,143.63,0,143.63,0.8241
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Everest Bank Ltd,195.95,3.19,199.14,167.3,0.82,168.12,0.8232
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Global IME Bank Ltd,435.13,4.22,439.35,373.32,1.03,374.36,0.8347
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Himalayan Bank Ltd,262.14,16.38,278.53,240.33,2.42,242.76,0.84698
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Kumari Bank Ltd,322.14,4.14,326.28,287.93,1.45,289.38,0.8869
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Laxmi Sunrise Bank Ltd,293.23,7.07,300.3,256.65,1.4,258.05,0.8234
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Machhapuchchhre Bank Ltd,153.33,4.96,158.28,128.58,0.18,128.77,0.8064
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Nabil Bank Ltd,391.33,11.31,402.64,337.7,3.74,341.43,0.8712
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Nepal Bank Ltd,244.965,0.503,245.468,186.37,0,186.37,0.7484
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Nepal Investment Mega Bank Ltd,348.86,9.94,358.8,315.91,4.7,320.61,0.8505
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Nepal SBI Bank Ltd,144.93,5.8,150.72,120.48,2.25,122.73,0.7899
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,NIC Asia Bank Ltd,313.49,0.82,314.31,271.59,0,271.59,0.8425
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,NMB Bank Ltd,210.42,2.62,213.04,193.58,3.89,197.47,0.8346
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Prabhu Bank Ltd,293.31,2.63,295.94,242.04,0.06,242.1,0.8039
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Prime Commercial Bank Ltd,174.75,3.84,178.59,163.02,0.09,163.11,0.8874
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Rastriya Banijya Bank Ltd,321.87,1.11,322.98,248.35,0,248.35,0.7562
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Sanima Bank Ltd,174.36,4.48,178.84,148.16,1.89,150.05,0.7858
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Siddhartha Bank Ltd,223.43,5.14,228.57,189.66,1.22,190.87,0.7922
7/16/2023,2079/80,2080,Ashar,End Date,End,3/31/2080,Standard Chartered Bank Nepal Ltd,103.73,18.76,122.49,93.36,1.65,95.01,0.758
7/21/2023,2080/81,2080,Shrawan,1st Week,Week,4/5/2080,Agricultural Development Bank Ltd,189.24,0,189.24,181.02,0,181.02,0.8347
7/21/2023,2080/81,2080,Shrawan,1st Week,Week,4/5/2080,Citizens Bank International Ltd,162.74,3.83,166.57,142.72,0,142.72,0.8451
7/21/2023,2080/81,2080,Shrawan,1st Week,Week,4/5/2080,Everest Bank Ltd,191.86,2.64,194.5,164.75,0.88,165.63,0.8351
7/21/2023,2080/81,2080,Shrawan,1st Week,Week,4/5/2080,Global IME Bank Ltd,427.14,4.49,431.63,371.76,1.34,373.1,0.8371
7/21/2023,2080/81,2080,Shrawan,1st Week,Week,4/5/2080,Himalayan Bank Ltd,264.92,16.85,281.77,241.74,2.46,244.2,0.8425
7/21/2023,2080/81,2080,Shrawan,1st Week,Week,4/5/2080,Kumari Bank Ltd,312.3,4.19,316.49,287.56,1.45,289.01,0.8887
7/21/2023,2080/81,2080,Shrawan,1st Week,Week,4/5/2080,Laxmi Sunrise Bank Ltd,290.34,7.44,297.78,254.62,1.4,256.02,0.8236
